T (K),H2 (bar),tol (bar),Enes (bar),rate (mol/Pt/s),psi
493,0.5,1.50E-02,8.00E-06,2.70E-02,19575.21447
493,0.5,1.50E-02,7.80E-06,2.60E-02,18628.72064
493,0.5,1.50E-02,7.60E-06,2.50E-02,18728.76803
493,0.7,1.40E-02,1.20E-05,4.90E-02,24171.06497
493,0.7,1.30E-02,1.20E-05,5.00E-02,24288.95337
493,0.7,1.40E-02,1.10E-05,5.10E-02,25631.74309
493,0.6,1.40E-02,9.50E-06,3.70E-02,22348.64194
493,0.6,1.50E-02,9.80E-06,3.70E-02,21488.14569
493,0.6,1.50E-02,1.00E-05,3.70E-02,20516.00025
493,0.8,1.40E-02,1.50E-05,6.60E-02,25654.57661
493,0.8,1.40E-02,1.40E-05,6.70E-02,26529.18197
493,0.3,1.50E-02,3.60E-06,7.80E-03,12382.1129
493,0.3,1.50E-02,3.70E-06,7.30E-03,11161.40981
493,0.4,1.50E-02,5.50E-06,1.40E-02,14301.61868
493,0.2,1.50E-02,1.80E-06,2.70E-03,8713.684087
493,0.2,1.40E-02,1.80E-06,2.50E-03,8103.484203
493,0.8,1.40E-02,1.40E-05,7.10E-02,27975.59597
493,0.8,1.40E-02,1.50E-05,7.10E-02,26888.99244
493,0.8,1.40E-02,1.30E-05,6.90E-02,29288.11848
493,0.8,1.50E-02,1.40E-05,7.00E-02,28967.96186
493,0.8,1.40E-02,1.30E-05,6.90E-02,29619.43411
493,0.8,2.00E-02,1.90E-05,7.60E-02,22543.86529
493,0.8,2.10E-02,2.00E-05,7.70E-02,21699.40784
493,0.8,2.10E-02,2.00E-05,7.80E-02,21824.19504
493,0.8,7.40E-03,8.00E-06,6.80E-02,48426.78511
493,0.8,7.70E-03,8.50E-06,6.20E-02,41354.29043
493,0.8,7.20E-03,8.20E-06,6.30E-02,43983.09721
493,0.8,1.80E-03,2.30E-06,3.10E-02,76608.95586
493,0.8,4.00E-03,4.90E-06,4.90E-02,57032.31919
493,0.8,2.90E-03,4.00E-06,4.10E-02,58692.32684
493,0.8,1.40E-02,1.60E-05,7.90E-02,28128.68355
493,0.8,1.40E-02,1.60E-05,7.90E-02,27975.15444
493,0.8,1.40E-02,1.50E-05,7.80E-02,28471.37915
533,0.4,1.40E-02,1.60E-06,2.70E-03,8894.749054
513,0.8,1.40E-02,9.80E-06,4.20E-02,23507.98285
513,0.8,1.40E-02,9.80E-06,4.20E-02,23646.15222
513,0.8,6.60E-03,4.70E-06,3.10E-02,36773.88711
513,0.8,6.50E-03,4.40E-06,3.10E-02,37841.38128
513,0.8,3.40E-03,2.40E-06,2.20E-02,50170.83295
513,0.8,1.90E-03,1.50E-06,1.60E-02,59052.31761
513,0.8,4.70E-03,3.00E-06,2.70E-02,47993.03911
513,0.8,2.10E-02,1.40E-05,4.60E-02,18268.49236
513,0.8,2.00E-02,1.30E-05,4.70E-02,19810.18674
513,0.8,2.10E-02,1.30E-05,4.60E-02,18986.55264
513,0.8,1.40E-02,8.80E-06,4.10E-02,25379.25215
513,0.8,1.40E-02,9.30E-06,4.00E-02,23845.7302
533,0.8,1.50E-02,5.40E-06,2.00E-02,19881.90759
533,0.8,1.40E-02,5.30E-06,2.00E-02,19872.47376
533,0.8,1.40E-02,5.20E-06,2.00E-02,19954.78208
533,0.8,7.10E-03,2.90E-06,1.50E-02,26973.23488
533,0.8,6.80E-03,2.80E-06,1.40E-02,26572.01653
533,0.8,6.80E-03,2.40E-06,1.40E-02,30980.25123
533,0.8,3.20E-03,1.40E-06,9.60E-03,35084.63045
533,0.8,4.10E-03,1.80E-06,1.10E-02,33075.51865
533,0.8,3.90E-03,1.80E-06,1.10E-02,31163.62392
533,0.8,2.10E-02,8.00E-06,2.20E-02,14772.54836
533,0.8,2.20E-02,8.00E-06,2.20E-02,14921.35629
533,0.8,2.10E-02,7.50E-06,2.20E-02,15671.82225
533,0.8,2.00E-02,7.30E-06,2.10E-02,15282.51909
533,0.8,1.50E-02,5.20E-06,1.90E-02,19101.89676
533,0.5,1.40E-02,2.30E-06,5.50E-03,12537.27782
533,0.5,1.30E-02,2.30E-06,5.30E-03,12295.40509
533,0.5,1.40E-02,2.40E-06,5.40E-03,11649.03283
533,0.7,1.40E-02,3.80E-06,1.20E-02,16696.93579
533,0.7,1.40E-02,4.10E-06,1.20E-02,15811.93052
533,0.6,1.30E-02,3.00E-06,8.40E-03,14684.96264
533,0.6,1.40E-02,3.20E-06,8.10E-03,13504.94635
533,0.6,1.40E-02,3.00E-06,8.10E-03,14424.72216
533,0.8,1.50E-02,5.00E-06,1.60E-02,17290.34207
533,0.8,1.40E-02,4.90E-06,1.60E-02,17655.76962
533,0.3,1.60E-02,1.10E-06,1.50E-03,7133.744574
533,0.3,1.50E-02,1.00E-06,1.40E-03,6945.021173
533,0.3,1.50E-02,1.00E-06,1.30E-03,6771.395643
533,0.4,1.50E-02,1.50E-06,2.70E-03,9344.81163